modelo,escenario,H,MAE,RMSE,MAPE,R2,t_inferencia_s,contexto,covariables
chronos2,E1_zs_univariante,6,3.6314222479875755,4.718557676583748,17.431430126109504,0.2772118431413412,0.0016354318342766622,512,ninguna
chronos2,E1_zs_univariante,12,4.008669548829396,5.162386078677558,18.412616216497298,0.3028055588354631,0.0016354318342766622,512,ninguna
chronos2,E1_zs_univariante,24,4.119436272029524,5.1150596568443065,18.56905417548525,0.22720176305961848,0.0016354318342766622,512,ninguna
chronos2,E1_zs_univariante,48,4.534515869727841,5.493774974145026,20.247505902502454,0.1455369827872096,0.0016354318342766622,512,ninguna
chronos2,E2_zs_multi_pasadas,6,3.672302036739531,4.770500161474704,17.660676826607578,0.2612111680011835,0.01958555883255839,512,proceso pasadas
chronos2,E2_zs_multi_pasadas,12,4.0253961195769135,5.227958555117399,18.53588853275737,0.2849815867898208,0.01958555883255839,512,proceso pasadas
chronos2,E2_zs_multi_pasadas,24,4.0512430094789575,5.145218421377514,18.34804501016994,0.2180619482961682,0.01958555883255839,512,proceso pasadas
chronos2,E2_zs_multi_pasadas,48,4.407437397550654,5.45456919191619,19.866203902302214,0.15768904828014607,0.01958555883255839,512,proceso pasadas
chronos2,E3_zs_multi_futuras,6,3.6676455355699726,4.773993546071878,17.722401337583253,0.2601287580183842,0.027835353081981238,512,proceso pasadas + meteo futuras reales
chronos2,E3_zs_multi_futuras,12,3.978066953818003,5.163325803899986,18.459247465329277,0.3025517107804202,0.027835353081981238,512,proceso pasadas + meteo futuras reales
chronos2,E3_zs_multi_futuras,24,3.9756126748190983,5.0221014249924485,18.12810151238237,0.25503533335532114,0.027835353081981238,512,proceso pasadas + meteo futuras reales
chronos2,E3_zs_multi_futuras,48,4.19765583925777,5.24385032454584,19.157876173979474,0.221511661748917,0.027835353081981238,512,proceso pasadas + meteo futuras reales
chronos2,E4_ft_univariante,6,3.658475529100529,4.7164473486805765,17.433482556476278,0.2778582181685998,0.006395317500896959,512,ninguna (LoRA 500 pasos)
chronos2,E4_ft_univariante,12,3.9494733796296297,5.11807007006101,18.101918069249407,0.31472417893182325,0.006395317500896959,512,ninguna (LoRA 500 pasos)
chronos2,E4_ft_univariante,24,4.026872106481481,5.073781924511882,18.076589867216356,0.23962415868426157,0.006395317500896959,512,ninguna (LoRA 500 pasos)
chronos2,E4_ft_univariante,48,4.474103009259259,5.487513336857939,19.83593189116139,0.14748365458879464,0.006395317500896959,512,ninguna (LoRA 500 pasos)
chronos2,E5_ft_multi_pasadas,6,3.6613921957671955,4.750392481273861,17.575881359912426,0.26742603915794283,0.01362126036191411,512,proceso pasadas (LoRA 500 pasos)
chronos2,E5_ft_multi_pasadas,12,4.020931712962963,5.211145927456888,18.47223314645069,0.28957305723591575,0.01362126036191411,512,proceso pasadas (LoRA 500 pasos)
chronos2,E5_ft_multi_pasadas,24,4.048909143518518,5.136172769993128,18.28852343310549,0.22080893429609383,0.01362126036191411,512,proceso pasadas (LoRA 500 pasos)
chronos2,E5_ft_multi_pasadas,48,4.425575810185186,5.466106174654453,19.86379071488161,0.15412212903466904,0.01362126036191411,512,proceso pasadas (LoRA 500 pasos)
chronos2,E6_ft_multi_futuras,6,3.668058862433863,4.756327023754486,17.602362719228527,0.2655945244306077,0.01836986116541084,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
chronos2,E6_ft_multi_futuras,12,3.992228009259259,5.163201746858305,18.378251568381668,0.30258522496695106,0.01836986116541084,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
chronos2,E6_ft_multi_futuras,24,4.0007523148148145,5.034209370956011,18.091821451655168,0.25143888459465624,0.01836986116541084,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
chronos2,E6_ft_multi_futuras,48,4.2299204282407405,5.260647021281517,19.129841072213157,0.2165164869103925,0.01836986116541084,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
