familia,modelo,escenario,H,MAE,RMSE,MAPE,R2,t_inferencia_s,contexto,covariables
Chronos-2,chronos2,E1_zs_univariante,6,3.631422247987576,4.718557676583748,17.431430126109504,0.2772118431413412,0.0016354318342766,512,ninguna
Chronos-2,chronos2,E1_zs_univariante,12,4.008669548829396,5.162386078677558,18.412616216497295,0.3028055588354631,0.0016354318342766,512,ninguna
Chronos-2,chronos2,E1_zs_univariante,24,4.119436272029524,5.1150596568443065,18.56905417548525,0.2272017630596184,0.0016354318342766,512,ninguna
Chronos-2,chronos2,E1_zs_univariante,48,4.534515869727841,5.493774974145026,20.247505902502454,0.1455369827872096,0.0016354318342766,512,ninguna
Chronos-2,chronos2,E2_zs_multi_pasadas,6,3.672302036739531,4.770500161474704,17.660676826607578,0.2612111680011835,0.0195855588325583,512,proceso pasadas
Chronos-2,chronos2,E2_zs_multi_pasadas,12,4.0253961195769135,5.227958555117399,18.53588853275737,0.2849815867898208,0.0195855588325583,512,proceso pasadas
Chronos-2,chronos2,E2_zs_multi_pasadas,24,4.0512430094789575,5.145218421377514,18.34804501016994,0.2180619482961682,0.0195855588325583,512,proceso pasadas
Chronos-2,chronos2,E2_zs_multi_pasadas,48,4.407437397550654,5.45456919191619,19.86620390230221,0.157689048280146,0.0195855588325583,512,proceso pasadas
Chronos-2,chronos2,E3_zs_multi_futuras,6,3.6676455355699726,4.773993546071878,17.722401337583253,0.2601287580183842,0.0278353530819812,512,proceso pasadas + meteo futuras reales
Chronos-2,chronos2,E3_zs_multi_futuras,12,3.978066953818003,5.163325803899986,18.45924746532928,0.3025517107804202,0.0278353530819812,512,proceso pasadas + meteo futuras reales
Chronos-2,chronos2,E3_zs_multi_futuras,24,3.9756126748190974,5.0221014249924485,18.12810151238237,0.2550353333553211,0.0278353530819812,512,proceso pasadas + meteo futuras reales
Chronos-2,chronos2,E3_zs_multi_futuras,48,4.19765583925777,5.24385032454584,19.157876173979474,0.221511661748917,0.0278353530819812,512,proceso pasadas + meteo futuras reales
Chronos-2,chronos2,E4_ft_univariante,6,3.658475529100529,4.7164473486805765,17.433482556476278,0.2778582181685998,0.0063953175008969,512,ninguna (LoRA 500 pasos)
Chronos-2,chronos2,E4_ft_univariante,12,3.9494733796296297,5.11807007006101,18.101918069249407,0.3147241789318232,0.0063953175008969,512,ninguna (LoRA 500 pasos)
Chronos-2,chronos2,E4_ft_univariante,24,4.026872106481481,5.073781924511882,18.07658986721636,0.2396241586842615,0.0063953175008969,512,ninguna (LoRA 500 pasos)
Chronos-2,chronos2,E4_ft_univariante,48,4.474103009259259,5.487513336857939,19.83593189116139,0.1474836545887946,0.0063953175008969,512,ninguna (LoRA 500 pasos)
Chronos-2,chronos2,E5_ft_multi_pasadas,6,3.661392195767196,4.750392481273861,17.575881359912426,0.2674260391579428,0.0136212603619141,512,proceso pasadas (LoRA 500 pasos)
Chronos-2,chronos2,E5_ft_multi_pasadas,12,4.020931712962963,5.211145927456888,18.47223314645069,0.2895730572359157,0.0136212603619141,512,proceso pasadas (LoRA 500 pasos)
Chronos-2,chronos2,E5_ft_multi_pasadas,24,4.048909143518518,5.136172769993128,18.28852343310549,0.2208089342960938,0.0136212603619141,512,proceso pasadas (LoRA 500 pasos)
Chronos-2,chronos2,E5_ft_multi_pasadas,48,4.425575810185186,5.466106174654453,19.86379071488161,0.154122129034669,0.0136212603619141,512,proceso pasadas (LoRA 500 pasos)
Chronos-2,chronos2,E6_ft_multi_futuras,6,3.668058862433863,4.756327023754486,17.602362719228527,0.2655945244306077,0.0183698611654108,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
Chronos-2,chronos2,E6_ft_multi_futuras,12,3.992228009259259,5.163201746858305,18.378251568381668,0.302585224966951,0.0183698611654108,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
Chronos-2,chronos2,E6_ft_multi_futuras,24,4.000752314814815,5.034209370956011,18.091821451655168,0.2514388845946562,0.0183698611654108,512,proceso pasadas + meteo futuras (LoRA 500 pasos)
