modelo,escenario,H,MAE,RMSE,MAPE,R2,t_inferencia_s,contexto,covariables
ttm,E1_zs,6,3.6760300098651295,4.6150626474635565,17.840315427594216,0.30857083653255646,0.00030490861994352333,512,ninguna
ttm,E1_zs,12,3.91461203372037,4.9915135412520835,18.135971039536745,0.3481953399315435,0.00030490861994352333,512,ninguna
ttm,E1_zs,24,4.001288246799398,4.951263339796124,18.138023332597385,0.27590296839826467,0.00030490861994352333,512,ninguna
ttm,E1_zs,48,4.423661511805323,5.37754315225953,19.861867834785336,0.1813102648544489,0.00030490861994352333,512,ninguna
ttm,E2_ft_univariante_5pct,6,3.5751431028174343,4.572685671944059,17.475602074291107,0.3212103844162634,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
ttm,E2_ft_univariante_5pct,12,3.79913105752733,4.924007070828038,17.601748940783494,0.3657064580308732,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
ttm,E2_ft_univariante_5pct,24,3.869106165656337,4.857625066527644,17.546893803717726,0.30303222581007594,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
ttm,E2_ft_univariante_5pct,48,4.3298017330081375,5.306439562200214,19.437963553628798,0.20281708695647438,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
ttm,E3_ft_multi_5pct,6,3.6125924757801036,4.614906248060873,17.878952023974612,0.3086176992878721,0.00024024433298985024,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
ttm,E3_ft_multi_5pct,12,3.8634164079030353,4.981858081171636,17.996135635586846,0.3507145705631497,0.00024024433298985024,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
ttm,E3_ft_multi_5pct,24,3.9142591761659693,4.9059132852375065,17.844006925295318,0.2891066507733482,0.00024024433298985024,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
ttm,E3_ft_multi_5pct,48,4.329977512756983,5.291828288701773,19.564264910432613,0.20720112685935377,0.00024024433298985024,512,"proceso+meteo pasadas, mix_channel (5%, 19 ep)"
ttm,E4_ft_exog_futuras_5pct,6,3.6227117982743273,4.652339684042821,17.975649500617276,0.2973560273243163,0.0003899442408173517,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
ttm,E4_ft_exog_futuras_5pct,12,3.762800106825652,4.949228484503354,17.637961360142953,0.3591919461904123,0.0003899442408173517,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
ttm,E4_ft_exog_futuras_5pct,24,3.8098612807415146,4.898856717169498,17.5548528542418,0.2911502496806543,0.0003899442408173517,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
ttm,E4_ft_exog_futuras_5pct,48,4.285253035359912,5.325688764410602,19.567876593946465,0.19702300703359932,0.0003899442408173517,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
