H,chi2_friedman,p_friedman,rango_medio_XGBoost,rango_medio_Chronos-2,rango_medio_TTM
6,0.3888888888888573,0.8232919154257934,1.9444444444444444,2.0833333333333335,1.9722222222222223
12,0.7222222222221717,0.6969015606581297,1.9722222222222223,2.111111111111111,1.9166666666666667
24,4.222222222222172,0.12110333239233279,1.8888888888888888,2.2777777777777777,1.8333333333333333
48,0.7222222222221717,0.6969015606581297,2.0833333333333335,2.0277777777777777,1.8888888888888888
