modelo,regimen,covariables,H,MAE,RMSE,MAPE,R2,t_train_s,vram_gb,params_entrenados,t_inf_s,escenario,lr
chronos2,full,U,6,3.900894510582011,5.042824123674538,18.667033523492456,0.1744561708738852,57.1299055009149,3.229866496,119477664,0.000925219307343165,full_C512_U,5e-06
chronos2,full,U,12,4.283449074074074,5.511942375416142,19.65513364396509,0.20519188785612397,57.1299055009149,3.229866496,119477664,0.000925219307343165,full_C512_U,5e-06
chronos2,full,U,24,4.595974151234567,5.723101437024111,20.575364884441427,0.0325520625479111,57.1299055009149,3.229866496,119477664,0.000925219307343165,full_C512_U,5e-06
chronos2,full,U,48,5.20850067515432,6.426407389866363,23.000369770510748,-0.16919794598530702,57.1299055009149,3.229866496,119477664,0.000925219307343165,full_C512_U,5e-06
chronos2,full,U,6,3.938116732804233,5.099937115604539,18.719762075198023,0.15565072624988063,54.796265049953945,3.227638272,119477664,0.000900236414357399,full_C512_U_lr2e6,2e-06
chronos2,full,U,12,4.290150462962963,5.523911361846703,19.596561343383772,0.20173634515181627,54.796265049953945,3.227638272,119477664,0.000900236414357399,full_C512_U_lr2e6,2e-06
chronos2,full,U,24,4.529151234567901,5.660897979725212,20.1149197548451,0.05346784445012831,54.796265049953945,3.227638272,119477664,0.000900236414357399,full_C512_U_lr2e6,2e-06
chronos2,full,U,48,5.14572868441358,6.312313262617483,22.522755433675094,-0.12805071242934485,54.796265049953945,3.227638272,119477664,0.000900236414357399,full_C512_U_lr2e6,2e-06
chronos2,full,F,6,3.7016931216931215,4.731726657223863,17.183619825980934,0.2731717672183802,57.30343648500275,3.3148052480000003,119477664,0.005621756637184363,full_C512_F,5e-06
chronos2,full,F,12,4.046556712962963,5.217937593573261,18.071164684672326,0.2877200572036702,57.30343648500275,3.3148052480000003,119477664,0.005621756637184363,full_C512_F,5e-06
chronos2,full,F,24,4.11673900462963,5.140387042329116,18.084373756669585,0.2195297442606834,57.30343648500275,3.3148052480000003,119477664,0.005621756637184363,full_C512_F,5e-06
chronos2,full,F,48,4.471527777777777,5.497668751695016,19.355250799725507,0.14432533215133236,57.30343648500275,3.3148052480000003,119477664,0.005621756637184363,full_C512_F,5e-06
chronos2,full,F,6,3.6296792328042327,4.6433151912076625,17.117037357230913,0.30007932607931154,59.024406569078565,3.31807744,119477664,0.005579387610648862,full_C512_F_lr2e6,2e-06
chronos2,full,F,12,3.9585474537037038,5.105868447115758,17.935047452176963,0.31798771775388024,59.024406569078565,3.31807744,119477664,0.005579387610648862,full_C512_F_lr2e6,2e-06
chronos2,full,F,24,4.024528356481482,5.04429068251406,17.882980315149997,0.2484378040240044,59.024406569078565,3.31807744,119477664,0.005579387610648862,full_C512_F_lr2e6,2e-06
chronos2,full,F,48,4.3679021990740745,5.3783446278087395,19.166652345440635,0.1810662096478407,59.024406569078565,3.31807744,119477664,0.005579387610648862,full_C512_F_lr2e6,2e-06
ttm,ft_100pct,U,6,3.5958274759312787,4.600187539105895,17.289576635776335,0.3130208339656214,4.450808844063431,1.044911104,805280,0.00011279725003987551,ft100pct_U,
ttm,ft_100pct,U,12,3.84619957809095,4.985840404487068,17.511916362589627,0.3496761234990988,4.450808844063431,1.044911104,805280,0.00011279725003987551,ft100pct_U,
ttm,ft_100pct,U,24,3.945821120341618,4.964244335486174,17.536283454000642,0.2721011823123338,4.450808844063431,1.044911104,805280,0.00011279725003987551,ft100pct_U,
ttm,ft_100pct,U,48,4.427754834316395,5.4482361732987,19.449844435541745,0.15964384031598344,4.450808844063431,1.044911104,805280,0.00011279725003987551,ft100pct_U,
ttm,ft_100pct,F,6,3.5208973373433263,4.560682587752798,16.7973829777257,0.32476928874327937,13.512462471029721,1.6320578559999999,839234,0.00032854694614393846,ft100pct_F,
ttm,ft_100pct,F,12,3.8154387971206947,4.951267530427077,17.21838032361413,0.35866382096178184,13.512462471029721,1.6320578559999999,839234,0.00032854694614393846,ft100pct_F,
ttm,ft_100pct,F,24,3.9340220525971166,4.932336805942212,17.46500910919527,0.28142820613276354,13.512462471029721,1.6320578559999999,839234,0.00032854694614393846,ft100pct_F,
ttm,ft_100pct,F,48,4.425140478456462,5.433850179743079,19.300456331660527,0.1640758792439897,13.512462471029721,1.6320578559999999,839234,0.00032854694614393846,ft100pct_F,
ttm,ft_20pct,F,6,3.904283043291202,5.009910024393376,18.893058589556333,0.18519751583392352,7.892308138078079,1.6320578559999999,839234,0.00028475986133950454,ft20pct_F,
ttm,ft_20pct,F,12,4.171809722140983,5.420020915051411,18.91544295475219,0.23148052269698338,7.892308138078079,1.6320578559999999,839234,0.00028475986133950454,ft20pct_F,
ttm,ft_20pct,F,24,4.247564024616171,5.357942534909267,18.654798790276374,0.15206840308221692,7.892308138078079,1.6320578559999999,839234,0.00028475986133950454,ft20pct_F,
ttm,ft_20pct,F,48,4.736841605592657,5.841163531013192,20.4765266217913,0.03405974122453981,7.892308138078079,1.6320578559999999,839234,0.00028475986133950454,ft20pct_F,
