modelo,C,covariables,H,MAE,RMSE,MAPE,R2,t_inf_s,n_ventanas,escenario
xgboost,24,U,6,3.4644349752658257,4.4750398202182184,17.19182191517692,0.3498908175345462,0.006948925722907815,36,lags24_U
xgboost,24,U,12,3.740562145798294,4.954734612338935,17.963543830885552,0.35776532635686764,0.006948925722907815,36,lags24_U
xgboost,24,U,24,3.8828832833855236,5.0373705566896225,18.00895682300885,0.25049848521698315,0.006948925722907815,36,lags24_U
xgboost,24,U,48,4.342432106733322,5.473193122967369,20.095084415116915,0.15192730196905557,0.006948925722907815,36,lags24_U
xgboost,24,P,6,3.5178149323236374,4.498110531193749,17.51718737766961,0.3431703665924839,0.00822290425033619,36,lags24_P
xgboost,24,P,12,3.757711535383154,4.966401804540185,18.159633580164183,0.3547371530456336,0.00822290425033619,36,lags24_P
xgboost,24,P,24,3.8562066682179768,4.996642674452411,18.068958263752176,0.2625691506827833,0.00822290425033619,36,lags24_P
xgboost,24,P,48,4.340508050477063,5.461657469278149,20.342709435522213,0.15549843969851562,0.00822290425033619,36,lags24_P
xgboost,24,F,6,3.6105381011206004,4.630504780230334,18.27635560062658,0.30393601149598626,0.007322309695559347,36,lags24_F
xgboost,24,F,12,3.8805760880752844,5.119395291844382,18.92705257618922,0.3143692560777325,0.007322309695559347,36,lags24_F
xgboost,24,F,24,3.9537454764489777,5.070353661250609,18.630553527304667,0.24065135611882926,0.007322309695559347,36,lags24_F
xgboost,24,F,48,4.38655069914129,5.449293712324599,20.731021859259783,0.15931757116814638,0.007322309695559347,36,lags24_F
xgboost,24,PF,6,3.603379237841046,4.6049815989162814,18.28479848971982,0.31158822484189086,0.006440058888983913,36,lags24_PF
xgboost,24,PF,12,3.8716263427557767,5.063370014257393,18.91151907449745,0.32929385624274765,0.006440058888983913,36,lags24_PF
xgboost,24,PF,24,3.9546596624674617,5.027838937497706,18.736983908470854,0.2533321874849229,0.006440058888983913,36,lags24_PF
xgboost,24,PF,48,4.405182046735728,5.444681995940482,20.917514476794352,0.16073990169207508,0.006440058888983913,36,lags24_PF
xgboost,48,U,6,3.4284159558916847,4.457718124338983,16.980581279191615,0.35491387870685587,0.006113957110857073,36,lags48_U
xgboost,48,U,12,3.7301645427279997,4.9524996103807055,17.863267323072023,0.35834459936477703,0.006113957110857073,36,lags48_U
xgboost,48,U,24,3.9209507222528805,5.054068717795769,18.15510458125609,0.24552126938199237,0.006113957110857073,36,lags48_U
xgboost,48,U,48,4.388399758206473,5.487212504873175,20.33370980949665,0.14757712393953903,0.006113957110857073,36,lags48_U
xgboost,48,P,6,3.4259918713695785,4.445473580189906,17.125563009719436,0.3584528809522616,0.007345013666458221,36,lags48_P
xgboost,48,P,12,3.69883998826698,4.90027126119501,17.82005900120405,0.37180684889523086,0.007345013666458221,36,lags48_P
xgboost,48,P,24,3.8016966383987003,4.913814369431068,17.73039183605562,0.2868149872675273,0.007345013666458221,36,lags48_P
xgboost,48,P,48,4.237270967408462,5.33804388837499,19.72418297780582,0.19329301509914865,0.007345013666458221,36,lags48_P
xgboost,48,F,6,3.491271573273593,4.509652988776078,17.55383503399413,0.33979510252994927,0.007457925972024289,36,lags48_F
xgboost,48,F,12,3.7604061539967857,4.9858700083001555,18.264314077624363,0.3496684007795251,0.007457925972024289,36,lags48_F
xgboost,48,F,24,3.927437678001545,5.020797872647786,18.376530627994946,0.25542201387998387,0.007457925972024289,36,lags48_F
xgboost,48,F,48,4.372207479653535,5.439793217359356,20.455806400250815,0.1622463679186532,0.007457925972024289,36,lags48_F
xgboost,48,PF,6,3.682446734211432,4.675267022245431,18.61517898304551,0.29041351986089414,0.006955452999035414,36,lags48_PF
xgboost,48,PF,12,3.8676684595037387,5.057722060592864,18.883393267086614,0.3307893047197661,0.006955452999035414,36,lags48_PF
xgboost,48,PF,24,3.933854367026576,5.009113957084838,18.56316278747076,0.25888340154067735,0.006955452999035414,36,lags48_PF
xgboost,48,PF,48,4.381320964097976,5.410262393039367,20.63024442455765,0.17131744946400718,0.006955452999035414,36,lags48_PF
xgboost,96,U,6,3.459689249916682,4.507965126235286,16.945253364090522,0.3402892099848106,0.007006427944159239,36,lags96_U
xgboost,96,U,12,3.7197320561938816,4.925525540906898,17.618558778112554,0.3653151895942961,0.007006427944159239,36,lags96_U
xgboost,96,U,24,3.820840618875292,4.927814595316914,17.602960118137783,0.28274524649828325,0.007006427944159239,36,lags96_U
xgboost,96,U,48,4.210186781662482,5.291355954388475,19.3625980148424,0.20734264671940328,0.007006427944159239,36,lags96_U
xgboost,96,P,6,3.4553921345554333,4.40739232143002,17.090499015885406,0.3693971729876141,0.007966021499467187,36,lags96_P
xgboost,96,P,12,3.706127863901633,4.860370369245519,17.853169333373735,0.3819954351282697,0.007966021499467187,36,lags96_P
xgboost,96,P,24,3.799193053201393,4.850144790305418,17.673170491508827,0.3051771000002522,0.007966021499467187,36,lags96_P
xgboost,96,P,48,4.174420350944555,5.223061917182886,19.345131210317977,0.22767181247309964,0.007966021499467187,36,lags96_P
xgboost,96,F,6,3.5354379571934853,4.548487720531471,17.48671109583217,0.3283754769592705,0.007129425360795317,36,lags96_F
xgboost,96,F,12,3.7681963668929206,4.9529476224766675,17.97764458553267,0.358228503491565,0.007129425360795317,36,lags96_F
xgboost,96,F,24,3.8430230287122136,4.910762386739851,17.78167270544356,0.2877006342196471,0.007129425360795317,36,lags96_F
xgboost,96,F,48,4.208905629486214,5.25554815290431,19.429644141984944,0.21803452956926583,0.007129425360795317,36,lags96_F
xgboost,96,PF,6,3.574017644735871,4.56535412332763,17.858962602695623,0.32338529424437623,0.007881716555049125,36,lags96_PF
xgboost,96,PF,12,3.8021099117950152,4.954974598386429,18.364631422946808,0.35770311067607596,0.007881716555049125,36,lags96_PF
xgboost,96,PF,24,3.9051210744734166,4.917338315686985,18.271487323485065,0.2857916979662388,0.007881716555049125,36,lags96_PF
xgboost,96,PF,48,4.248580106518887,5.2525024737009804,19.804042939754684,0.21894059143316214,0.007881716555049125,36,lags96_PF
xgboost,168,U,6,3.510607802703898,4.558635327683925,16.98797593297934,0.32537536582794724,0.007956002806572037,36,lags168_U
xgboost,168,U,12,3.743574587062553,4.931551977386205,17.590766876925017,0.3637611513259781,0.007956002806572037,36,lags168_U
xgboost,168,U,24,3.8602335258619287,4.920259166592997,17.644065284196323,0.2849429804721715,0.007956002806572037,36,lags168_U
xgboost,168,U,48,4.282491324646974,5.350350045369639,19.338412038044396,0.18956921430561013,0.007956002806572037,36,lags168_U
xgboost,168,P,6,3.5639791138209995,4.543539998516206,17.504323845388953,0.32983583226929203,0.009758150749904517,36,lags168_P
xgboost,168,P,12,3.821208927101559,4.988829307122413,18.163038274009473,0.3488961798146395,0.009758150749904517,36,lags168_P
xgboost,168,P,24,3.899018679445172,4.9280068854060675,18.006413201282104,0.28268926887625134,0.009758150749904517,36,lags168_P
xgboost,168,P,48,4.321335535395292,5.345734970619742,19.79751370187185,0.19096672494479083,0.009758150749904517,36,lags168_P
xgboost,168,F,6,3.6420230847060995,4.66991902345103,17.960272582759522,0.29203597144006765,0.0077360823601743,36,lags168_F
xgboost,168,F,12,3.9008789863409814,5.165432695639102,18.57823287453324,0.30198240800988196,0.0077360823601743,36,lags168_F
xgboost,168,F,24,3.9807737697936876,5.060161805897898,18.36831451784599,0.24370100269207484,0.0077360823601743,36,lags168_F
xgboost,168,F,48,4.406154130763476,5.4825275025809805,20.134967838734834,0.14903210613611706,0.0077360823601743,36,lags168_F
xgboost,168,PF,6,3.624591562937176,4.655802421739846,18.121928229903407,0.29630968187017304,0.007363973667250118,36,lags168_PF
xgboost,168,PF,12,3.907949135745013,5.1320043422773445,18.73229278025962,0.31098768516027453,0.007363973667250118,36,lags168_PF
xgboost,168,PF,24,3.9822462070429765,5.033762212127899,18.525909429185155,0.2515718591376783,0.007363973667250118,36,lags168_PF
xgboost,168,PF,48,4.4362868679011305,5.4985059345957605,20.446475859996216,0.14406470868487564,0.007363973667250118,36,lags168_PF
xgboost,336,U,6,3.611265973969111,4.622685121742736,17.437471971355027,0.30628495057619565,0.0071016274434643695,36,lags336_U
xgboost,336,U,12,3.9379724372757807,5.136889716538893,18.449324848748585,0.30967526024269953,0.0071016274434643695,36,lags336_U
xgboost,336,U,24,4.043899975132059,5.115145337462332,18.440658946511423,0.2271758730839173,0.0071016274434643695,36,lags336_U
xgboost,336,U,48,4.470492469668388,5.566294385386267,20.25487445247913,0.12282977902612813,0.0071016274434643695,36,lags336_U
xgboost,336,P,6,3.6443246130716234,4.627568285149893,17.851453541312548,0.30481856770266336,0.008737443445069302,36,lags336_P
xgboost,336,P,12,3.945903566943275,5.128689669939273,18.666419862217246,0.311877439867716,0.008737443445069302,36,lags336_P
xgboost,336,P,24,4.024746040988852,5.071811607394564,18.601976979552575,0.24021460212914558,0.008737443445069302,36,lags336_P
xgboost,336,P,48,4.4971317717543355,5.5675462906047715,20.655741653596742,0.12243516911483698,0.008737443445069302,36,lags336_P
xgboost,336,F,6,3.716842969712757,4.735648443454566,18.331199498890324,0.2719664371415701,0.007506604833502529,36,lags336_F
xgboost,336,F,12,4.011266607531795,5.229334595661111,19.113151342846717,0.284605140113691,0.007506604833502529,36,lags336_F
xgboost,336,F,24,4.110448998875087,5.1765714201307045,19.010322853426665,0.20850324868953896,0.007506604833502529,36,lags336_F
xgboost,336,F,48,4.533779078854455,5.621790318664216,20.803058050246275,0.10525182023202972,0.007506604833502529,36,lags336_F
xgboost,336,PF,6,3.6874309092223956,4.713108931684529,18.320659984538256,0.278880155658631,0.007433541165988168,36,lags336_PF
xgboost,336,PF,12,4.010833912072358,5.228859134727586,19.20964519225533,0.2847352242911363,0.007433541165988168,36,lags336_PF
xgboost,336,PF,24,4.1307748309771215,5.1948006464942,19.21897989840304,0.20291894319708792,0.007433541165988168,36,lags336_PF
xgboost,336,PF,48,4.588852846887376,5.695712019778091,21.154006084140274,0.08156678242053306,0.007433541165988168,36,lags336_PF
xgboost,512,U,6,3.885447580297157,4.892244700060328,18.797684498169666,0.22302179813745038,0.006511428445163701,36,lags512_U
xgboost,512,U,12,4.1080848445715725,5.234147710725356,19.428368095670255,0.2832876254960639,0.006511428445163701,36,lags512_U
xgboost,512,U,24,4.048747727326405,5.096887265718106,18.96498423746594,0.23268308537706228,0.006511428445163701,36,lags512_U
xgboost,512,U,48,4.402678131652467,5.4569323175546165,20.69703705079486,0.1569590482700549,0.006511428445163701,36,lags512_U
xgboost,512,P,6,3.864960132805759,4.848634947761361,18.75614876090991,0.2368121164049407,0.00817912883293401,36,lags512_P
xgboost,512,P,12,4.079683889371377,5.191476748613436,19.353311652589998,0.294925869712075,0.00817912883293401,36,lags512_P
xgboost,512,P,24,4.133720898319174,5.154796049954134,19.322168132464505,0.21514814290865847,0.00817912883293401,36,lags512_P
xgboost,512,P,48,4.475587234298389,5.510641120234205,20.953743645787355,0.14028244646908006,0.00817912883293401,36,lags512_P
xgboost,512,F,6,3.88353549684797,4.874252184387238,19.039536908746797,0.22872637186573452,0.0073975668330806205,36,lags512_F
xgboost,512,F,12,4.1683217173152505,5.298713464914144,19.98576881926718,0.2654965770456724,0.0073975668330806205,36,lags512_F
xgboost,512,F,24,4.144091316461562,5.186932809577532,19.5023790939484,0.20533156884262338,0.0073975668330806205,36,lags512_F
xgboost,512,F,48,4.466014252680319,5.518634049607558,20.93764259931686,0.13778667690265145,0.0073975668330806205,36,lags512_F
xgboost,512,PF,6,3.8996042667621027,4.9199525924691425,19.218025388526804,0.21419583200770997,0.007764165166817192,36,lags512_PF
xgboost,512,PF,12,4.165215324384195,5.280860999292448,19.945294337676657,0.2704376283007299,0.007764165166817192,36,lags512_PF
xgboost,512,PF,24,4.1120645821094515,5.137823187843329,19.325966315107966,0.22030809543560126,0.007764165166817192,36,lags512_PF
xgboost,512,PF,48,4.437849958075417,5.4538589147493175,20.754451227540773,0.15790840026291575,0.007764165166817192,36,lags512_PF
chronos2,64,U,6,3.8380704453382544,4.995803655085581,18.775373114958395,0.18977952351240968,0.008814687556069758,36,zs_C64_U
chronos2,64,U,12,4.088858287422745,5.329064548724078,19.367155123930786,0.25705799198583557,0.008814687556069758,36,zs_C64_U
chronos2,64,U,24,3.96082913407573,5.181994375500273,18.2646052191623,0.20684404243825993,0.008814687556069758,36,zs_C64_U
chronos2,64,U,48,4.291842019020775,5.478572315113674,19.642655863734383,0.1502594683326567,0.008814687556069758,36,zs_C64_U
chronos2,64,P,6,3.8541060793084445,4.986063143638726,18.863832124439156,0.19293587982204996,0.004961572860742712,36,zs_C64_P
chronos2,64,P,12,4.104873951276143,5.311537269486248,19.33460680855378,0.26193702381556117,0.004961572860742712,36,zs_C64_P
chronos2,64,P,24,4.04413984492973,5.229603464751789,18.5736969280716,0.19220300084572095,0.004961572860742712,36,zs_C64_P
chronos2,64,P,48,4.388193996835638,5.538904569873226,20.04721261510831,0.1314410446871228,0.004961572860742712,36,zs_C64_P
chronos2,64,F,6,3.8868765037274238,4.957482999501855,18.754491050941716,0.202161555858833,0.002379466084271876,36,zs_C64_F
chronos2,64,F,12,4.138313502823865,5.309976073075033,19.277961403056647,0.26237083115671855,0.002379466084271876,36,zs_C64_F
chronos2,64,F,24,4.103548891588494,5.221078004489666,18.573938007377137,0.1948346449818199,0.002379466084271876,36,zs_C64_F
chronos2,64,F,48,4.462681457599004,5.666809874718572,20.086987181241856,0.09086407175415734,0.002379466084271876,36,zs_C64_F
chronos2,64,PF,6,3.774787025022759,4.9414838984997616,18.493167212855116,0.20730291502617426,0.006591383277231621,36,zs_C64_PF
chronos2,64,PF,12,4.0736111305378095,5.3179854395977175,19.18358052363285,0.26014392920920393,0.006591383277231621,36,zs_C64_PF
chronos2,64,PF,24,3.979451914584195,5.157193639419697,18.209110262988258,0.21441787535004742,0.006591383277231621,36,zs_C64_PF
chronos2,64,PF,48,4.3190746417089745,5.456971277125197,19.668160125512877,0.15694701050641935,0.006591383277231621,36,zs_C64_PF
chronos2,128,U,6,3.7001608061916613,4.799827158522954,18.405632021567815,0.2520997309512638,0.0006202712506314532,36,zs_C128_U
chronos2,128,U,12,3.913506156073676,5.095513384976063,18.776862841078472,0.3207512508275103,0.0006202712506314532,36,zs_C128_U
chronos2,128,U,24,3.9513525488641528,5.075968030038715,18.417394896814198,0.2389687817060746,0.0006202712506314532,36,zs_C128_U
chronos2,128,U,48,4.357139597777967,5.411834105846385,20.210390231396094,0.1708359052919124,0.0006202712506314532,36,zs_C128_U
