familia,A,B,H,p,sig_nominal,holm_familia,bh_familia,holm_global,bh_global
mejoras,c2_zs_U_C512_sesgo,c2_zs_U_C512,24,0.3042,False,False,False,False,False
mejoras,c2_zs_U_C512_sesgo,c2_zs_U_C512,48,0.6355,False,False,False,False,False
mejoras,c2_zs_F_C256_sesgo,c2_zs_F_C256,6,0.0331,True,False,False,False,False
mejoras,c2_zs_F_C256_sesgo,c2_zs_F_C256,12,0.0123,True,False,False,False,False
mejoras,c2_zs_F_C256_sesgo,c2_zs_F_C256,24,0.0353,True,False,False,False,False
mejoras,c2_zs_F_C256_sesgo,c2_zs_F_C256,48,0.039,True,False,False,False,False
mejoras,c2_zs_F_C512_sesgo,c2_zs_F_C512,6,0.0247,True,False,False,False,False
mejoras,c2_zs_F_C512_sesgo,c2_zs_F_C512,12,0.0145,True,False,False,False,False
mejoras,c2_zs_F_C512_sesgo,c2_zs_F_C512,24,0.0222,True,False,False,False,False
mejoras,c2_zs_F_C512_sesgo,c2_zs_F_C512,48,0.0308,True,False,False,False,False
mejoras,ttm_ft5_F_sesgo,ttm_ft5_F,6,0.1441,False,False,False,False,False
mejoras,ttm_ft5_F_sesgo,ttm_ft5_F,12,0.1496,False,False,False,False,False
mejoras,ttm_ft5_F_sesgo,ttm_ft5_F,24,0.3001,False,False,False,False,False
mejoras,ttm_ft5_F_sesgo,ttm_ft5_F,48,0.6292,False,False,False,False,False
mejoras,ens_ctx_U,c2_zs_U_C512,6,0.8617,False,False,False,False,False
mejoras,ens_ctx_U,c2_zs_U_C512,12,0.1629,False,False,False,False,False
mejoras,ens_ctx_U,c2_zs_U_C512,24,0.0496,True,False,False,False,False
mejoras,ens_ctx_U,c2_zs_U_C512,48,0.2629,False,False,False,False,False
mejoras,ens_ctx_F,c2_zs_F_C512,6,0.1581,False,False,False,False,False
mejoras,ens_ctx_F,c2_zs_F_C512,12,0.0211,True,False,False,False,False
mejoras,ens_ctx_F,c2_zs_F_C512,24,0.0702,False,False,False,False,False
mejoras,ens_ctx_F,c2_zs_F_C512,48,0.2831,False,False,False,False,False
mejoras,ens_par_simple,c2_zs_F_C256,6,0.2306,False,False,False,False,False
mejoras,ens_par_simple,c2_zs_F_C256,12,0.7203,False,False,False,False,False
mejoras,ens_par_simple,c2_zs_F_C256,24,0.9324,False,False,False,False,False
mejoras,ens_par_simple,c2_zs_F_C256,48,0.2887,False,False,False,False,False
mejoras,ens_par_pond,c2_zs_F_C256,6,0.2177,False,False,False,False,False
mejoras,ens_par_pond,c2_zs_F_C256,12,0.689,False,False,False,False,False
mejoras,ens_par_pond,c2_zs_F_C256,24,0.9677,False,False,False,False,False
mejoras,ens_par_pond,c2_zs_F_C256,48,0.304,False,False,False,False,False
mejoras,ens_trio_simple,c2_zs_F_C256,6,0.846,False,False,False,False,False
mejoras,ens_trio_simple,c2_zs_F_C256,12,0.7984,False,False,False,False,False
mejoras,ens_trio_simple,c2_zs_F_C256,24,0.6947,False,False,False,False,False
mejoras,ens_trio_simple,c2_zs_F_C256,48,0.2226,False,False,False,False,False
mejoras,ens_trio_pond,c2_zs_F_C256,6,0.8759,False,False,False,False,False
mejoras,ens_trio_pond,c2_zs_F_C256,12,0.7868,False,False,False,False,False
mejoras,ens_trio_pond,c2_zs_F_C256,24,0.7013,False,False,False,False,False
mejoras,ens_trio_pond,c2_zs_F_C256,48,0.2261,False,False,False,False,False
mejoras,ens_trio_pond_sesgo,c2_zs_F_C256,6,0.019,True,False,False,False,False
mejoras,ens_trio_pond_sesgo,c2_zs_F_C256,12,0.0137,True,False,False,False,False
mejoras,ens_trio_pond_sesgo,c2_zs_F_C256,24,0.0365,True,False,False,False,False
mejoras,ens_trio_pond_sesgo,c2_zs_F_C256,48,0.0444,True,False,False,False,False
mejoras,ens_trio_simple_sesgo,c2_zs_F_C256,6,0.0186,True,False,False,False,False
mejoras,ens_trio_simple_sesgo,c2_zs_F_C256,12,0.0136,True,False,False,False,False
mejoras,ens_trio_simple_sesgo,c2_zs_F_C256,24,0.0354,True,False,False,False,False
mejoras,ens_trio_simple_sesgo,c2_zs_F_C256,48,0.0431,True,False,False,False,False
bloques,xgb_E3,c2_zs_F_C256,6,0.201,False,False,False,False,False
bloques,xgb_E3,c2_zs_F_C256,12,0.009,True,False,True,False,False
bloques,xgb_E3,c2_zs_F_C256,24,0.0052,True,False,True,False,False
bloques,xgb_E3,c2_zs_F_C256,48,0.0323,True,False,False,False,False
bloques,xgb_E3,ttm_ft5_F,6,0.068,False,False,False,False,False
bloques,xgb_E3,ttm_ft5_F,12,0.8084,False,False,False,False,False
bloques,xgb_E3,ttm_ft5_F,24,0.7032,False,False,False,False,False
bloques,xgb_E3,ttm_ft5_F,48,0.8577,False,False,False,False,False
bloques,c2_zs_F_C256,ttm_ft5_F,6,0.0005,True,True,True,False,True
bloques,c2_zs_F_C256,ttm_ft5_F,12,0.0001,True,True,True,True,True
bloques,c2_zs_F_C256,ttm_ft5_F,24,0.0,True,True,True,True,True
bloques,c2_zs_F_C256,ttm_ft5_F,48,0.0005,True,True,True,False,True
bloques,xgb_E1,c2_zs_U_C512,6,0.8662,False,False,False,False,False
bloques,xgb_E1,c2_zs_U_C512,12,0.233,False,False,False,False,False
bloques,xgb_E1,c2_zs_U_C512,24,0.1922,False,False,False,False,False
bloques,xgb_E1,c2_zs_U_C512,48,0.4029,False,False,False,False,False
bloques,xgb_E1,ttm_zs_U,6,0.5961,False,False,False,False,False
bloques,xgb_E1,ttm_zs_U,12,0.1869,False,False,False,False,False
bloques,xgb_E1,ttm_zs_U,24,0.1368,False,False,False,False,False
bloques,xgb_E1,ttm_zs_U,48,0.192,False,False,False,False,False
bloques,c2_zs_U_C512,ttm_zs_U,6,0.6555,False,False,False,False,False
bloques,c2_zs_U_C512,ttm_zs_U,12,0.7517,False,False,False,False,False
bloques,c2_zs_U_C512,ttm_zs_U,24,0.6941,False,False,False,False,False
bloques,c2_zs_U_C512,ttm_zs_U,48,0.9078,False,False,False,False,False
bloques,xgb_E1,xgb_E3,6,0.0178,True,False,True,False,False
bloques,xgb_E1,xgb_E3,12,0.0018,True,False,True,False,True
bloques,xgb_E1,xgb_E3,24,0.0053,True,False,True,False,False
bloques,xgb_E1,xgb_E3,48,0.0811,False,False,False,False,False
bloques,c2_zs_F_C256,c2_zs_U_C512,6,0.5386,False,False,False,False,False
bloques,c2_zs_F_C256,c2_zs_U_C512,12,0.5686,False,False,False,False,False
bloques,c2_zs_F_C256,c2_zs_U_C512,24,0.2737,False,False,False,False,False
bloques,c2_zs_F_C256,c2_zs_U_C512,48,0.1033,False,False,False,False,False
bloques,ttm_ft5_F,ttm_zs_U,6,0.0,True,True,True,True,True
bloques,ttm_ft5_F,ttm_zs_U,12,0.0001,True,True,True,True,True
bloques,ttm_ft5_F,ttm_zs_U,24,0.0,True,True,True,True,True
bloques,ttm_ft5_F,ttm_zs_U,48,0.0007,True,True,True,False,True
bloques_extra,c2_zs_F_C256,xgb_E1,6,0.6561772661172469,False,False,False,False,False
bloques_extra,c2_zs_F_C256,ttm_zs_U,6,0.9932781610918756,False,False,False,False,False
bloques_extra,ttm_zs_U,xgb_E1,6,0.5960939903717191,False,False,False,False,False
bloques_extra,c2_zs_F_C256,xgb_E1,12,0.1016499102582164,False,False,False,False,False
bloques_extra,c2_zs_F_C256,ttm_zs_U,12,0.4251192051427783,False,False,False,False,False
bloques_extra,ttm_zs_U,xgb_E1,12,0.1869358704302679,False,False,False,False,False
bloques_extra,c2_zs_F_C256,xgb_E1,24,0.0648337025565606,False,False,False,False,False
bloques_extra,c2_zs_F_C256,ttm_zs_U,24,0.2206866029802614,False,False,False,False,False
bloques_extra,ttm_zs_U,xgb_E1,24,0.136764986548822,False,False,False,False,False
bloques_extra,c2_zs_F_C256,xgb_E1,48,0.0980554544754146,False,False,False,False,False
bloques_extra,c2_zs_F_C256,ttm_zs_U,48,0.2456696288046511,False,False,False,False,False
bloques_extra,ttm_zs_U,xgb_E1,48,0.1915089902574835,False,False,False,False,False
