modelo,C,covariables,H,MAE,RMSE,MAPE,R2,t_inf_s,n_ventanas,pct_nan_contexto,mem_gpu_pico_MB,escenario
chronos2,512,U,6,3.6314222479875755,4.718557676583748,17.431430126109504,0.2772118431413412,0.006587503806157555,36,0.0,541.1,zs_nanfill_C512_U
chronos2,512,U,12,4.008669548829396,5.162386078677558,18.412616216497298,0.3028055588354631,0.006587503806157555,36,0.0,541.1,zs_nanfill_C512_U
chronos2,512,U,24,4.119436272029524,5.1150596568443065,18.56905417548525,0.22720176305961848,0.006587503806157555,36,0.0,541.1,zs_nanfill_C512_U
chronos2,512,U,48,4.534515869727841,5.493774974145026,20.247505902502454,0.1455369827872096,0.006587503806157555,36,0.0,541.1,zs_nanfill_C512_U
chronos2,512,F,6,3.6404714256871946,4.733542539749351,17.57206962241112,0.272613794183442,0.009171569056990039,36,0.0,972.7,zs_nanfill_C512_F
chronos2,512,F,12,3.9511641105899105,5.121020813206079,18.326342097955617,0.3139337810665921,0.009171569056990039,36,0.0,972.7,zs_nanfill_C512_F
chronos2,512,F,24,3.9098033324877415,4.950105934313374,17.847889376826163,0.27624145813835355,0.009171569056990039,36,0.0,972.7,zs_nanfill_C512_F
chronos2,512,F,48,4.0951351619870575,5.142653429537382,18.71468657433009,0.25126859061582973,0.009171569056990039,36,0.0,972.7,zs_nanfill_C512_F
chronos2,512,PF,6,3.6676455355699726,4.773993546071878,17.722401337583253,0.2601287580183842,0.025662320611041248,36,0.0,1000.4,zs_nanfill_C512_PF
chronos2,512,PF,12,3.978066953818003,5.163325803899986,18.459247465329277,0.3025517107804202,0.025662320611041248,36,0.0,1000.4,zs_nanfill_C512_PF
chronos2,512,PF,24,3.9756126748190983,5.0221014249924485,18.12810151238237,0.25503533335532114,0.025662320611041248,36,0.0,1000.4,zs_nanfill_C512_PF
chronos2,512,PF,48,4.19765583925777,5.24385032454584,19.157876173979474,0.221511661748917,0.025662320611041248,36,0.0,1000.4,zs_nanfill_C512_PF
chronos2,1024,U,6,3.607550112860543,4.6638820474665925,17.122769676289273,0.2938652105609282,0.0023480592774123782,36,6.31,586.7,zs_nanfill_C1024_U
chronos2,1024,U,12,3.911047798439309,5.041827669200596,17.936386560888373,0.3349888171295664,0.0023480592774123782,36,6.31,586.7,zs_nanfill_C1024_U
chronos2,1024,U,24,3.9723899134000145,4.98042495295554,18.00094069305311,0.26734837560771496,0.0023480592774123782,36,6.31,586.7,zs_nanfill_C1024_U
chronos2,1024,U,48,4.405815751883718,5.389066074083007,19.74928528508117,0.17779795272821952,0.0023480592774123782,36,6.31,586.7,zs_nanfill_C1024_U
chronos2,1024,F,6,3.5946800119914704,4.696524088099461,17.144853308817122,0.28394628831990354,0.017524729222511977,36,6.31,1400.8,zs_nanfill_C1024_F
chronos2,1024,F,12,3.8832651007616965,5.109584104238295,17.83525351518591,0.3169947247340509,0.017524729222511977,36,6.31,1400.8,zs_nanfill_C1024_F
chronos2,1024,F,24,3.878227531115214,4.9572446027600545,17.631535745048573,0.27415245324575954,0.017524729222511977,36,6.31,1400.8,zs_nanfill_C1024_F
chronos2,1024,F,48,4.14763730265476,5.22670240317449,18.871423369510083,0.2265948082731103,0.017524729222511977,36,6.31,1400.8,zs_nanfill_C1024_F
chronos2,1024,PF,6,3.5844608811222054,4.669686518249045,17.096984697254655,0.2921064656910215,0.04956238066531821,36,6.31,1445.1,zs_nanfill_C1024_PF
chronos2,1024,PF,12,3.8539162242854084,5.046990859548469,17.749926049344356,0.3336260821608955,0.04956238066531821,36,6.31,1445.1,zs_nanfill_C1024_PF
chronos2,1024,PF,24,3.8799869328958017,4.981488242812447,17.678937108133443,0.2670355090526303,0.04956238066531821,36,6.31,1445.1,zs_nanfill_C1024_PF
chronos2,1024,PF,48,4.17894913053071,5.242094080122744,19.04977681481169,0.22203302935756974,0.04956238066531821,36,6.31,1445.1,zs_nanfill_C1024_PF
chronos2,2048,U,6,3.6051739230988518,4.622089472556241,17.31004667647222,0.3064637142912816,0.0041498676113810185,36,9.33,680.0,zs_nanfill_C2048_U
chronos2,2048,U,12,3.88501950458244,4.988563005783198,18.025630475802927,0.34896568918482473,0.0041498676113810185,36,9.33,680.0,zs_nanfill_C2048_U
chronos2,2048,U,24,3.9452395846225596,4.9432643278277295,18.107459837850946,0.2782407079785868,0.0041498676113810185,36,9.33,680.0,zs_nanfill_C2048_U
chronos2,2048,U,48,4.336560322487795,5.287817069662932,19.750077872417318,0.20840255838828325,0.0041498676113810185,36,9.33,680.0,zs_nanfill_C2048_U
chronos2,2048,F,6,3.5699223505252253,4.583333542787904,17.251133933866992,0.318045470062553,0.03337793094558745,36,9.33,2256.9,zs_nanfill_C2048_F
chronos2,2048,F,12,3.836892089932053,4.98997641667937,17.825254094491985,0.3485967214701139,0.03337793094558745,36,9.33,2256.9,zs_nanfill_C2048_F
chronos2,2048,F,24,3.840468372636371,4.878909764650996,17.65962192950978,0.2969110249164072,0.03337793094558745,36,9.33,2256.9,zs_nanfill_C2048_F
chronos2,2048,F,48,4.116922463708454,5.127537865638912,18.901201180054915,0.2556635455227384,0.03337793094558745,36,9.33,2256.9,zs_nanfill_C2048_F
chronos2,2048,PF,6,3.599441603302324,4.64956166640863,17.41987935877238,0.2981949061251583,0.09483657144462793,36,9.33,2343.0,zs_nanfill_C2048_PF
chronos2,2048,PF,12,3.850869341161516,4.998288849647606,17.99212546382753,0.34642466467135147,0.09483657144462793,36,9.33,2343.0,zs_nanfill_C2048_PF
chronos2,2048,PF,24,3.8666352287928265,4.976582079813997,17.85146226587665,0.26847856070939624,0.09483657144462793,36,9.33,2343.0,zs_nanfill_C2048_PF
chronos2,2048,PF,48,4.054256453911463,5.0992479876102585,18.72588299195881,0.26385425975554977,0.09483657144462793,36,9.33,2343.0,zs_nanfill_C2048_PF
chronos2,4096,U,6,3.5513367454337064,4.559243396711836,17.09583918781897,0.3251953796368183,0.008285481500529891,36,17.94,867.8,zs_nanfill_C4096_U
chronos2,4096,U,12,3.8293690249654984,4.9480517212456325,17.75286193665624,0.35949663599317117,0.008285481500529891,36,17.94,867.8,zs_nanfill_C4096_U
chronos2,4096,U,24,3.8891230956271845,4.91280638405255,17.75432373820939,0.2871075527891228,0.008285481500529891,36,17.94,867.8,zs_nanfill_C4096_U
chronos2,4096,U,48,4.296430522622886,5.284481992100924,19.41777651018234,0.20940077987810457,0.008285481500529891,36,17.94,867.8,zs_nanfill_C4096_U
chronos2,4096,F,6,3.52609637747366,4.529657537061634,16.994449806965537,0.3339248532077208,0.8492786439455813,36,17.94,3969.0,zs_nanfill_C4096_F
chronos2,4096,F,12,3.818702443793968,4.972941415169623,17.669744715064116,0.35303670826832945,0.8492786439455813,36,17.94,3969.0,zs_nanfill_C4096_F
chronos2,4096,F,24,3.834260130370105,4.886419007914708,17.568058371546545,0.29474507824669105,0.8492786439455813,36,17.94,3969.0,zs_nanfill_C4096_F
chronos2,4096,F,48,4.144010272335123,5.1666637524395025,18.93037713379709,0.24426082707460206,0.8492786439455813,36,17.94,3969.0,zs_nanfill_C4096_F
chronos2,4096,PF,6,3.5422177942720037,4.579980799799359,17.10200840386557,0.31904281489086617,2.6548151077780253,36,17.94,4139.5,zs_nanfill_C4096_PF
chronos2,4096,PF,12,3.8209558404816524,4.978429900703146,17.74681652437207,0.3516078524451459,2.6548151077780253,36,17.94,4139.5,zs_nanfill_C4096_PF
chronos2,4096,PF,24,3.852561420202255,4.9707012125875245,17.653451256670674,0.27020642877077283,2.6548151077780253,36,17.94,4139.5,zs_nanfill_C4096_PF
chronos2,4096,PF,48,4.133296366024901,5.184732123166449,18.86277791074733,0.23896578460500573,2.6548151077780253,36,17.94,4139.5,zs_nanfill_C4096_PF
chronos2,8192,U,6,3.53512362507916,4.5468303737321865,17.171988064004893,0.3288648316755619,0.1406507127782485,36,21.24,1238.9,zs_nanfill_C8192_U
chronos2,8192,U,12,3.808632060686747,4.9200625471556485,17.78205402878571,0.36672229075008544,0.1406507127782485,36,21.24,1238.9,zs_nanfill_C8192_U
chronos2,8192,U,24,3.8797231669779175,4.901434113866479,17.81045522222628,0.29040417045452493,0.1406507127782485,36,21.24,1238.9,zs_nanfill_C8192_U
chronos2,8192,U,48,4.291526155118589,5.281828897071501,19.50138832463609,0.2101944275152734,0.1406507127782485,36,21.24,1238.9,zs_nanfill_C8192_U
chronos2,8192,F,6,3.5092583788008915,4.511711849650869,17.02342513340955,0.3391921380356512,3.0007227133335417,36,21.24,7392.8,zs_nanfill_C8192_F
chronos2,8192,F,12,3.8060460228390167,4.94729195170008,17.714631094187453,0.35969331849206077,3.0007227133335417,36,21.24,7392.8,zs_nanfill_C8192_F
chronos2,8192,F,24,3.8334456950646856,4.884447669352339,17.646747571661948,0.29531400849037226,3.0007227133335417,36,21.24,7392.8,zs_nanfill_C8192_F
chronos2,8192,F,48,4.154912850680175,5.178491812706701,19.062532372343007,0.24079663398150175,3.0007227133335417,36,21.24,7392.8,zs_nanfill_C8192_F
chronos2,8192,PF,6,3.527895024895037,4.558530838092726,17.17499824498568,0.3254062919447771,12.72689672097234,36,21.24,7732.1,zs_nanfill_C8192_PF
chronos2,8192,PF,12,3.8369563416198447,4.973136527545202,17.953572381790813,0.3529859403181208,12.72689672097234,36,21.24,7732.1,zs_nanfill_C8192_PF
chronos2,8192,PF,24,3.8712009963282834,4.973854575189422,17.811853971673024,0.269280187736325,12.72689672097234,36,21.24,7732.1,zs_nanfill_C8192_PF
chronos2,8192,PF,48,4.142766414527539,5.178025203634599,18.963898055825172,0.2409334441691119,12.72689672097234,36,21.24,7732.1,zs_nanfill_C8192_PF
