modelo,fuente_cuantil,H,nominal,cobertura,anchura_media,anchura_pct,interval_score
ttm_ft5_F,conformal,12,80,81.02,14.592,59.8,19.819
ttm_ft5_F,conformal,24,80,82.52,14.593,59.8,19.279
ttm_ft5_F,conformal,48,80,78.07,14.499,59.4,19.737
c2_F_C1024,conformal,6,50,44.44,5.057,20.7,11.772
c2_F_C1024,conformal,12,50,48.84,5.938,24.3,12.777
c2_F_C1024,conformal,24,50,48.03,6.054,24.8,12.455
c2_F_C1024,conformal,48,50,43.98,6.214,25.5,13.31
c2_F_C1024,conformal,6,80,71.3,9.723,39.9,17.471
c2_F_C1024,conformal,12,80,75.93,11.792,48.3,18.468
c2_F_C1024,conformal,24,80,77.89,12.08,49.5,17.754
c2_F_C1024,conformal,48,80,76.68,12.65,51.8,18.403
c2_ens_ctx_F,conformal,6,50,44.91,5.464,22.4,11.521
c2_ens_ctx_F,conformal,12,50,46.06,5.789,23.7,12.304
c2_ens_ctx_F,conformal,24,50,46.76,6.034,24.7,12.06
c2_ens_ctx_F,conformal,48,50,44.97,6.218,25.5,12.778
c2_ens_ctx_F,conformal,6,80,75.46,10.275,42.1,16.903
c2_ens_ctx_F,conformal,12,80,78.7,11.991,49.1,17.725
c2_ens_ctx_F,conformal,24,80,80.44,12.403,50.8,17.372
c2_ens_ctx_F,conformal,48,80,80.32,12.892,52.8,17.965
