modelo,escenario,covariables,H,MAE,RMSE,MAPE,R2,t_inf_s,contexto,n_ventanas
xgboost,xgb_E1_cal,E1_cal,6,3.38666199588271,4.4406438775989665,16.75184927277079,0.35984611772809016,0.007362584858330795,48,36
xgboost,xgb_E1_cal,E1_cal,12,3.692454740118097,4.918827609376696,17.624885935132948,0.36704015679821433,0.007362584858330795,48,36
xgboost,xgb_E1_cal,E1_cal,24,3.8599322119024064,5.024289843732084,17.932121671796775,0.2543859439043812,0.007362584858330795,48,36
xgboost,xgb_E1_cal,E1_cal,48,4.328788550937618,5.479503384955914,20.0890041412872,0.14997062117841264,0.007362584858330795,48,36
xgboost,xgb_E3_cal,E3_cal,6,3.4814565389370786,4.51431637424124,17.491632452002214,0.33842897444738984,0.010709703777037147,48,36
xgboost,xgb_E3_cal,E3_cal,12,3.7485184834032883,4.98886851189686,18.13162021333388,0.34888594636019943,0.010709703777037147,48,36
xgboost,xgb_E3_cal,E3_cal,24,3.903200599808752,5.03948091875295,18.252997504519772,0.2498703595434214,0.010709703777037147,48,36
xgboost,xgb_E3_cal,E3_cal,48,4.337277930055135,5.426356167430757,20.276882817902784,0.16637999352836608,0.010709703777037147,48,36
chronos2,c2_zs_U_cal,zs_U_cal,6,3.7273031316989313,4.799282034494245,17.83202082497295,0.2522696017581879,0.014717598248454224,512,36
chronos2,c2_zs_U_cal,zs_U_cal,12,4.005407383706835,5.130410111971317,18.496326948697455,0.31141569481393194,0.014717598248454224,512,36
chronos2,c2_zs_U_cal,zs_U_cal,24,4.043691858097359,5.026984128018569,18.49340643244148,0.25358605578697835,0.014717598248454224,512,36
chronos2,c2_zs_U_cal,zs_U_cal,48,4.398856713705592,5.356722119317516,20.098925671908358,0.18763767711812895,0.014717598248454224,512,36
chronos2,c2_zs_F_cal,zs_F_cal,6,3.663874916424827,4.725544758350614,17.563449632837244,0.2750696974404958,0.015593973861541599,512,36
chronos2,c2_zs_F_cal,zs_F_cal,12,3.930922129154205,5.069626602375163,18.101546015510984,0.32763530682167696,0.015593973861541599,512,36
chronos2,c2_zs_F_cal,zs_F_cal,24,3.9498525124567525,4.970845104869853,17.986380179493864,0.270164175906219,0.015593973861541599,512,36
chronos2,c2_zs_F_cal,zs_F_cal,48,4.185163324916805,5.234217338612573,19.11320176513135,0.22436921058776005,0.015593973861541599,512,36
